dataset,column,count,mean,std,min,p25,median,p75,p90,p95,p99,max
disruption,Distance_km,1743,10137.46414228342,2120.9690059975696,7100.0,8400.0,10400.0,11200.0,13400.0,13600.0,13700.0,13700.0
disruption,Weight_MT,2927,14.968170488350525,5.834997644076721,5.000232695107323,9.848802360498098,15.052741862103842,20.068061075159108,22.971135099723664,24.065870790575648,24.759417004220175,24.99435346572261
disruption,Fuel_Price_Index,2927,100.35401686406772,15.059447263769604,60.0,90.11083654485273,100.32498117555345,110.51577642562663,120.05038213214354,125.16821969722047,135.593080459814,151.4336571701232
disruption,Geopolitical_Risk_Score,2927,41.15139895945672,11.92408621180753,8.0,32.84009198014479,41.09764512367636,48.99145586499246,56.28156390409544,61.03128098112758,69.23680548437093,86.23277788785666
disruption,Carrier_Reliability_Score,2927,81.68868201175425,7.9492952143205935,56.58636949443199,76.32619154016413,81.80613732904246,87.10506392349726,91.87308266095708,95.03165617489886,100.0,100.0
disruption,Lead_Time_Days,1743,364.2953930005737,75.7461506363594,251.4,302.315,372.45,403.635,480.044,488.515,492.5932,495.41
disruption,Disruption_Occurred,2927,0.38332763922104546,0.48628011358692647,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
disruption,Port_Congestion_Score,2927,53.80548678094419,18.579172376914986,9.0,40.98214259695201,53.4901170267413,66.53761178447257,77.78404713504594,84.9766183902488,98.87778185825846,100.0
disruption,Weather_Risk_Score,2927,30.013964650189887,16.74886396555832,0.0,17.999363262053993,29.64845298959216,41.29460184386343,52.584957254951654,58.0039672329038,68.77852255025962,90.79982834320852
disruption,Disruption_Probability,2927,0.3837821389761815,0.09746752050478565,0.05,0.3174923380692555,0.3821109586074468,0.4486448709151696,0.508946473767599,0.5482821467405457,0.6041822564989093,0.8
disruption,Disruption_Delay_Days,2927,3.2499376286054202,4.7411884359536085,0.0,0.0,0.0,6.44715086088747,11.662782624581116,13.348844381944442,14.677977386167251,14.994250142255702
disruption,Actual_Lead_Time_Days,1743,367.4951635111876,76.1265227015335,251.4,303.445,373.05,413.765,483.93199999999996,491.24,501.82779999999997,509.09
disruption,Transport_Cost_USD,1743,2772.9127194492257,327.65675130023385,1796.03,2543.435,2776.02,2991.05,3203.73,3314.2499999999995,3503.9766,3783.93
ocean,Distance_km,2927,7444.612230953195,4338.068769349022,40.0,2500.0,8300.0,10800.0,12900.0,13400.0,13500.0,13500.0
ocean,Weight_MT,2927,244.38490263067987,143.37490967190513,1.03,121.65,242.27,365.57,448.33000000000004,472.33099999999996,493.2122,499.75
ocean,Fuel_Price_Index,2927,100.2894977792962,11.647357351549207,80.0,90.06,100.36,110.67,116.36,118.18,119.64,120.0
ocean,Geopolitical_Risk_Score,2927,5.012777587974035,2.8791898423683517,0.0,2.5,5.0,7.5,9.0,9.5,9.9,10.0
ocean,Carrier_Reliability_Score,2927,0.8514250085411684,0.0763664925138664,0.591,0.8,0.854,0.905,0.955,0.983,0.99,0.99
ocean,Lead_Time_Days,2927,15.162794670310898,7.300244809507479,1.6,6.5,16.9,20.2,24.3,25.2,26.1,26.7
ocean,Disruption_Occurred,2927,0.10112743423300308,0.3015489061689613,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
route,Weight_MT,10000,244.681155,142.42242283035534,1.03,121.85,243.175,363.85,446.861,471.94,493.01,499.75
route,Fuel_Price_Index,10000,2.832039,0.9582024356417411,1.2,2.0,2.81,3.69,4.16,4.33,4.47,4.5
route,Geopolitical_Risk_Score,10000,5.0675300000000005,2.8804559364344198,0.0,2.6,5.1,7.5,9.0,9.5,9.9,10.0
route,Carrier_Reliability_Score,10000,0.7536624,0.14499819334683994,0.5,0.629,0.753,0.88,0.956,0.979,0.996,1.0
route,Distance_km,10000,8246.475,1770.2661406115524,5800.0,6750.0,7800.0,10200.0,10800.0,11000.0,11300.0,11300.0
route,Lead_Time_Days,10000,13.298092862369167,2.4399965144980884,7.660970837504977,11.307283208205174,13.020630937822224,15.20613681770837,16.603109806577635,17.57420509585022,19.066685357148806,21.219805420499227
route,Disruption_Occurred,10000,0.308,0.4616896313883878,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
route_edges,Distance_km,45,8216.666666666666,1790.1244243195652,5800.0,6750.0,7800.0,10200.0,10800.0,11000.0,11300.0,11300.0
route_edges,Avg_Lead_Time_Days,45,13.010884923043488,2.0952472029336304,10.1214079862965,11.40991923370654,12.44528495025377,15.40274496277843,16.05377643575936,16.308932053416637,16.641571911885443,16.653116944439518
route_edges,Avg_Weight_MT,45,242.55066666666667,16.93493852150851,206.5,231.72,240.61,253.77,267.3,269.60699999999997,274.7856,276.77
route_edges,Avg_Fuel_Index,45,2.8316242275477483,0.06543663495921159,2.670138888888889,2.790711111111111,2.828487394957983,2.8675,2.8934089515634582,2.9540650126304655,2.981056091277144,2.99488038277512
route_edges,Avg_Geo_Risk,45,5.071507764577827,0.1968790472191724,4.542857142857143,4.930737704918032,5.104109589041095,5.205106382978723,5.333522727272728,5.365684479454972,5.379071210340776,5.381739130434783
route_edges,Avg_Carrier_Reliability,45,0.7536136467188732,0.009602308292739675,0.736703056768559,0.7462568306010929,0.7534566210045662,0.7593703703703704,0.7642208596345516,0.7693064321963885,0.7789979534883722,0.783553488372093
route_edges,Disruption_Rate,45,0.30813852816845794,0.029621637614342135,0.25,0.2837837837837837,0.3125,0.3304721030042918,0.34461949265687575,0.3506439127375088,0.358274647887324,0.3615023474178404
route_edges,Shipment_Count,45,222.22222222222223,15.03615172129686,183.0,215.0,224.0,232.0,238.0,244.0,248.92000000000002,252.0
route_edges,Avg_Weather_Risk,45,36.220251520575964,1.2300281434743299,33.538812785388124,35.29680365296804,36.25581395348837,36.9675925925926,38.04559426229508,38.256634355633246,38.38052823315118,38.44444444444444
route_edges,Carrier_Risk,45,99.24638635328114,0.009602308292739552,99.21644651162792,99.24062962962962,99.24654337899544,99.2537431693989,99.25696396396397,99.2585835936292,99.2625175126994,99.26329694323144
route_edges,Route_Risk,45,36.842138431771616,0.7219821468280317,34.98738431372549,36.38621682242991,36.91322346938776,37.32614933333333,37.7975175147541,37.898810305550256,38.15845836267606,38.238880208333335
route_edges,Estimated_Cost,45,9664.877516101033,1150.9103945625966,7841.963612218604,8674.799285732759,9479.266797714286,10699.776159859157,11247.876486911206,11599.391264313446,11747.466137486812,11809.6474301982
ports,Latitude,6,5.241666666666667,33.07068273662742,-37.81,-22.125,16.015,31.3175,35.545,35.5975,35.6395,35.65
ports,Longitude,6,121.46333333333332,35.076637048991266,72.95,95.1125,139.70499999999998,143.655,148.075,149.6375,150.8875,151.2
eta_dynamic,vehicle_gps_latitude,32065,38.02358900858676,6.917908997912262,30.00000000000937,31.28054974737365,36.41382018655116,44.4536551271878,48.698604192680854,49.60665817374857,49.97172455623648,49.99999974528573
eta_dynamic,vehicle_gps_longitude,32065,-90.11664767718246,17.369244180319086,-119.99999842346357,-106.2539128575773,-86.29341367981668,-73.07936735809113,-70.31812910958837,-70.05565839541158,-70.00105266107812,-70.00000000027708
eta_dynamic,fuel_consumption_rate,32065,8.01173498347982,4.264960102236597,5.0,5.019983855498004,5.636035817632568,9.66994368595577,15.676118162668695,18.04207158325727,19.73736222347557,19.99987521068584
eta_dynamic,eta_variation_hours,32065,2.893068010097417,2.274043936190116,-1.999993096796247,1.185743666552098,3.882059226946552,4.884355037824268,4.994519512093835,4.9994299794649155,4.999997231643608,4.999999999999999
eta_dynamic,traffic_congestion_level,32065,4.9914932089194375,3.532047843588845,1.0916326575415083e-09,1.4747202378870794,4.981244166033586,8.534901572274176,9.76091550002754,9.939157993642928,9.997466582765847,9.999999450021503
eta_dynamic,warehouse_inventory_level,32065,299.2547323420757,323.44351338903715,1.3222098085915766e-12,16.05163497208946,157.28802154512064,540.5979910503739,852.6789489955103,944.6999487101663,994.4897834648577,999.9992984582192
eta_dynamic,loading_unloading_time,32065,2.2916691620610625,1.5542018283696122,0.5000000002939576,0.7747983189770911,1.9171212962803543,3.734188222114869,4.6927963386476375,4.899757999992309,4.993288389477207,4.999999764318551
