Origin_Port,Destination_Port,Distance_km,Base_ETA_Days,Base_Cost,Disruption_Probability,ETA_P50,ETA_P90,ETA_P95,ETA_P99,Expected_Cost,Cost_P50,Cost_P90,Cost_P95,Cost_P99,ETA_Risk,Cost_Risk,Disruption_Risk,Risk_Adjusted_Score
Chennai,Osaka,5800.0,10.1214079862965,7841.963612218604,0.2195,10.1214079862965,22.731407986296514,24.191407986296493,29.970897997844173,7917.253101506504,4211.044693345446,18603.346223648055,25910.49624832299,54917.933495373305,0.0,0.0063310643734411694,0.2195,0.06774931931203235
Osaka,Chennai,5800.0,10.282453918922023,8033.335569654378,0.2268,10.282453918922023,23.043453918922015,24.560393915196666,30.640318124742354,7878.139183685807,4271.382437132512,19004.040429724424,25827.210072581536,49273.92466001079,0.05456992177337231,0.0,0.2268,0.08986796870934893
Yokohama,Chennai,6150.0,10.612095558079314,8448.19436555727,0.2226,10.612095558079314,23.142095558079287,24.682312206307564,30.031274033196695,8290.886483976112,4389.757262115814,19486.16500640879,27155.47422327465,59163.418662229866,0.07260061369838847,0.10096904760133806,0.2226,0.12611095975975678
Osaka,Mumbai,6400.0,10.800927947702128,8277.075597481482,0.2227,10.800927947702128,23.34392572065197,24.930927947702124,30.878733086535224,8260.34605273462,4444.896124349274,19206.112742338682,26772.264740175124,58021.974853427026,0.10936879507584284,0.07183907633758765,0.2227,0.13210924093161341
Chennai,Yokohama,6150.0,10.721290829497448,8639.892476434212,0.2238,10.721290829497448,23.341290829497453,24.841290829497453,29.89379598163811,8339.49870580557,4528.552540176737,19601.013711412503,27064.782943164377,57419.42698373349,0.09611221766922101,0.09407507837563683,0.2238,0.13380741058037943
Mumbai,Osaka,6400.0,10.825207017834853,8262.960181831777,0.2256,10.825207017834853,23.445207017834857,24.895207017834846,30.66403377717097,8317.755048220419,4335.056273758111,19411.65918807261,27109.67582988414,57924.72355283348,0.10408596937476622,0.09748764658641336,0.2256,0.1385606817258305
Chennai,Tokyo,6200.0,10.666150180756183,8427.997824882883,0.2212,10.666150180756183,23.276150180756197,24.79615018075618,30.834336797746662,8504.808437964577,4480.263199976201,19567.67704761902,27497.827926058868,59551.13409690378,0.08943629461179452,0.12699333448348887,0.2212,0.14023251818976445
Mumbai,Tokyo,6800.0,11.40991923370654,8336.768085157895,0.2282,11.40991923370654,24.056522109096644,25.609919233706528,31.820551105363418,8264.369142518226,4438.598781119289,18975.863871347636,26980.95091868193,58909.21607210668,0.20978590711180375,0.08770252087939805,0.2282,0.1786851191085409
Mundra,Osaka,6600.0,11.102608132796895,8685.235523036867,0.2162,11.102608132796895,23.853608132796897,25.332608132796857,30.933667346683215,8530.277171248603,4500.49639886679,20349.507470639644,28337.111241848288,60823.43790815542,0.16877392291870844,0.19079211804527585,0.2162,0.18960720458106614
Tokyo,Brisbane,7200.0,11.664701848908743,8368.284035791305,0.2155,11.664701848908743,24.05570184890873,25.564701848908776,30.77238372635478,8561.267222276923,4484.523063018404,20066.490097202164,28068.92074923286,58756.939172285805,0.203098635435714,0.1704054061092629,0.2155,0.19701107600706447
Osaka,Mundra,6600.0,11.226375046280143,8734.17640328372,0.2276,11.226375046280143,23.996375046280125,25.516375046280107,31.618648594096367,8622.284013912109,4630.832717248477,20279.48385181942,28075.006047079743,54363.53297419089,0.19595150696156252,0.1708679848272458,0.2276,0.19792099823279874
Mumbai,Yokohama,6750.0,11.43672040361008,8674.799285732759,0.2307,11.43672040361008,24.236720403610093,25.6667204036101,31.12823753649556,8575.94164160829,4599.351157234699,19833.351608455025,27790.13926260832,60810.993270198924,0.21818632337567856,0.1492136114058701,0.2307,0.20124861277203246
Tokyo,Chennai,6200.0,10.7448565313213,9003.623729,0.2162,10.7448565313213,23.49880656069166,24.97485653132132,30.38157345792856,8961.593721019637,4778.704205434153,21046.982965494404,30166.514590966257,59836.73022626444,0.11586546387527301,0.3298556572838773,0.2162,0.2101628827352724
Yokohama,Mundra,6950.0,11.516070832665452,8668.325374371796,0.2205,11.516070832665452,24.21607083266544,25.748971026133134,31.833640424037565,8571.974036525782,4519.120985544587,19993.907723393986,28497.83442620785,62486.741275263616,0.23035050007008975,0.20300961773746518,0.2205,0.21919308534927545
Osaka,Brisbane,7100.0,11.517556789459585,8533.467302131146,0.2218,11.517556789459585,24.101530123925567,25.687886102593666,31.398464960506676,8648.32563315154,4534.485481210741,20243.787724591682,28669.57189522095,61516.14088868746,0.22131655259947214,0.21606437696940603,0.2218,0.2198859341306107
Mundra,Yokohama,6950.0,11.604827150981444,8774.655035017779,0.2188,11.604827150981444,24.24482715098143,25.732949203716895,30.60192908403321,8707.49414466071,4599.187600585058,20612.49084257165,28780.299350047357,61610.226176026124,0.2279810070150916,0.22448141182750148,0.2188,0.2241768263542871
Yokohama,Mumbai,6750.0,11.298355017119109,9104.95465476832,0.2185,11.298355017119109,23.938355017119093,25.42647706985456,31.32645635226889,9164.103055532662,4722.40548969926,21539.113469085314,30539.8633145086,65634.23974803748,0.18265635081360604,0.35823605512836826,0.2185,0.24608335686395288
