Origin_Port,Destination_Port,Distance_km,Base_ETA_Days,Base_Cost,Disruption_Probability,ETA_P50,ETA_P90,ETA_P95,ETA_P99,Expected_Cost,Cost_P50,Cost_P90,Cost_P95,Cost_P99,ETA_Risk,Cost_Risk,Disruption_Risk,Risk_Adjusted_Score
Chennai,Osaka,5800.0,10.1214079862965,7841.963612218604,0.2195,10.1214079862965,22.731407986296514,24.191407986296493,29.970897997844173,7917.253101506504,4211.044693345446,18603.346223648055,25910.49624832299,54917.933495373305,0.0,0.0063310643734411694,0.2195,0.06774931931203235
Osaka,Chennai,5800.0,10.282453918922023,8033.335569654378,0.2268,10.282453918922023,23.043453918922015,24.560393915196666,30.640318124742354,7878.139183685807,4271.382437132512,19004.040429724424,25827.210072581536,49273.92466001079,0.05456992177337231,0.0,0.2268,0.08986796870934893
Yokohama,Chennai,6150.0,10.612095558079314,8448.19436555727,0.2226,10.612095558079314,23.142095558079287,24.682312206307564,30.031274033196695,8290.886483976112,4389.757262115814,19486.16500640879,27155.47422327465,59163.418662229866,0.07260061369838847,0.10096904760133806,0.2226,0.12611095975975678
Osaka,Mumbai,6400.0,10.800927947702128,8277.075597481482,0.2227,10.800927947702128,23.34392572065197,24.930927947702124,30.878733086535224,8260.34605273462,4444.896124349274,19206.112742338682,26772.264740175124,58021.974853427026,0.10936879507584284,0.07183907633758765,0.2227,0.13210924093161341
Chennai,Yokohama,6150.0,10.721290829497448,8639.892476434212,0.2238,10.721290829497448,23.341290829497453,24.841290829497453,29.89379598163811,8339.49870580557,4528.552540176737,19601.013711412503,27064.782943164377,57419.42698373349,0.09611221766922101,0.09407507837563683,0.2238,0.13380741058037943
Mumbai,Osaka,6400.0,10.825207017834853,8262.960181831777,0.2256,10.825207017834853,23.445207017834857,24.895207017834846,30.66403377717097,8317.755048220419,4335.056273758111,19411.65918807261,27109.67582988414,57924.72355283348,0.10408596937476622,0.09748764658641336,0.2256,0.1385606817258305
Chennai,Tokyo,6200.0,10.666150180756183,8427.997824882883,0.2212,10.666150180756183,23.276150180756197,24.79615018075618,30.834336797746662,8504.808437964577,4480.263199976201,19567.67704761902,27497.827926058868,59551.13409690378,0.08943629461179452,0.12699333448348887,0.2212,0.14023251818976445
Mumbai,Tokyo,6800.0,11.40991923370654,8336.768085157895,0.2282,11.40991923370654,24.056522109096644,25.609919233706528,31.820551105363418,8264.369142518226,4438.598781119289,18975.863871347636,26980.95091868193,58909.21607210668,0.20978590711180375,0.08770252087939805,0.2282,0.1786851191085409
Mundra,Osaka,6600.0,11.102608132796895,8685.235523036867,0.2162,11.102608132796895,23.853608132796897,25.332608132796857,30.933667346683215,8530.277171248603,4500.49639886679,20349.507470639644,28337.111241848288,60823.43790815542,0.16877392291870844,0.19079211804527585,0.2162,0.18960720458106614
Tokyo,Brisbane,7200.0,11.664701848908743,8368.284035791305,0.2155,11.664701848908743,24.05570184890873,25.564701848908776,30.77238372635478,8561.267222276923,4484.523063018404,20066.490097202164,28068.92074923286,58756.939172285805,0.203098635435714,0.1704054061092629,0.2155,0.19701107600706447
